Dataset,Source file,Layer,Feature count,CRS,"Extent (xmin, ymin, xmax, ymax)"
Study AOI,aoi_combined.gpkg,Combined AOI,1,EPSG:27700,"(472390.5163731702, 275141.13780271815, 497211.84360363847, 291688.68928969704)"
Site AOI,aoi_sites.gpkg,rewild_harb_bng,3,EPSG:27700,"(474327.915533051, 289309.728740772, 476062.0277949407, 290185.9797359203)"
Site AOI,aoi_sites.gpkg,wicksteed_bng,1,EPSG:27700,"(487612.34231907915, 276149.1391683899, 488465.3127006045, 277383.5985966982)"
Site AOI,aoi_sites.gpkg,desborough_bng,1,EPSG:27700,"(478843.63072515954, 282543.31620858994, 480040.6064091755, 283424.45808894787)"
