Dataset,Platform,Year,Month,Product name,ZIP filename,Acquisition start,Acquisition end,Selection rule,Notes
Sentinel-1,S1A,2023,2023-09,S1A_IW_GRDH_1SDV_20230914T175824_20230914T175849_050327_060F2A_9E8B_COG.SAFE,S1A_IW_GRDH_1SDV_20230914T175824_20230914T175849_050327_060F2A_9E8B_COG.zip,2023-09-14T17:58:24,2023-09-14T17:58:49,Closest to mid-month (15th),
Sentinel-1,S1A,2023,2023-10,S1A_IW_GRDH_1SDV_20231015T175014_20231015T175039_050779_061EA1_4FFF_COG.SAFE,S1A_IW_GRDH_1SDV_20231015T175014_20231015T175039_050779_061EA1_4FFF_COG.zip,2023-10-15T17:50:14,2023-10-15T17:50:39,Closest to mid-month (15th),
Sentinel-1,S1A,2023,2023-11,S1A_IW_GRDH_1SDV_20231113T175824_20231113T175849_051202_062D27_81B8.SAFE,S1A_IW_GRDH_1SDV_20231113T175824_20231113T175849_051202_062D27_81B8.zip,2023-11-13T17:58:24,2023-11-13T17:58:49,Closest to mid-month (15th),
Sentinel-1,S1A,2023,2023-12,S1A_IW_GRDH_1SDV_20231216T062305_20231216T062330_051676_063D78_7B4A_COG.SAFE,S1A_IW_GRDH_1SDV_20231216T062305_20231216T062330_051676_063D78_7B4A_COG.zip,2023-12-16T06:23:05,2023-12-16T06:23:30,Closest to mid-month (15th),
Sentinel-1,S1A,2024,2024-01,S1A_IW_GRDH_1SDV_20240116T061508_20240116T061533_052128_064CFD_644E_COG.SAFE,S1A_IW_GRDH_1SDV_20240116T061508_20240116T061533_052128_064CFD_644E_COG.zip,2024-01-16T06:15:08,2024-01-16T06:15:33,Closest to mid-month (15th),
Sentinel-1,S1A,2024,2024-02,S1A_IW_GRDH_1SDV_20240212T175010_20240212T175035_052529_065A8B_710A.SAFE,S1A_IW_GRDH_1SDV_20240212T175010_20240212T175035_052529_065A8B_710A.zip,2024-02-12T17:50:10,2024-02-12T17:50:35,Closest to mid-month (15th),
Sentinel-1,S1A,2024,2024-03,S1A_IW_GRDH_1SDV_20240316T061508_20240316T061533_053003_066AB7_5EDF_COG.SAFE,S1A_IW_GRDH_1SDV_20240316T061508_20240316T061533_053003_066AB7_5EDF_COG.zip,2024-03-16T06:15:08,2024-03-16T06:15:33,Closest to mid-month (15th),
Sentinel-1,S1A,2024,2024-04,S1A_IW_GRDH_1SDV_20240414T062328_20240414T062353_053426_067B1B_3C7A_COG.SAFE,S1A_IW_GRDH_1SDV_20240414T062328_20240414T062353_053426_067B1B_3C7A_COG.zip,2024-04-14T06:23:28,2024-04-14T06:23:53,Closest to mid-month (15th),
Sentinel-1,S1A,2024,2024-05,S1A_IW_GRDH_1SDV_20240515T061509_20240515T061534_053878_068C5C_2A67.SAFE,S1A_IW_GRDH_1SDV_20240515T061509_20240515T061534_053878_068C5C_2A67.zip,2024-05-15T06:15:09,2024-05-15T06:15:34,Closest to mid-month (15th),
Sentinel-1,S1A,2024,2024-06,S1A_IW_GRDH_1SDV_20240616T175821_20240616T175846_054352_069CBD_48B1.SAFE,S1A_IW_GRDH_1SDV_20240616T175821_20240616T175846_054352_069CBD_48B1.zip,2024-06-16T17:58:21,2024-06-16T17:58:46,Closest to mid-month (15th),
Sentinel-1,S1A,2024,2024-07,S1A_IW_GRDH_1SDV_20240714T061507_20240714T061532_054753_06AAAF_F80C_COG.SAFE,S1A_IW_GRDH_1SDV_20240714T061507_20240714T061532_054753_06AAAF_F80C_COG.zip,2024-07-14T06:15:07,2024-07-14T06:15:32,Closest to mid-month (15th),
Sentinel-1,S1A,2024,2024-08,S1A_IW_GRDH_1SDV_20240815T175819_20240815T175844_055227_06BB67_0C78_COG.SAFE,S1A_IW_GRDH_1SDV_20240815T175819_20240815T175844_055227_06BB67_0C78_COG.zip,2024-08-15T17:58:19,2024-08-15T17:58:44,Closest to mid-month (15th),
Sentinel-1,S1A,2024,2024-09,S1A_IW_GRDH_1SDV_20240915T175010_20240915T175035_055679_06CC96_5752.SAFE,S1A_IW_GRDH_1SDV_20240915T175010_20240915T175035_055679_06CC96_5752.zip,2024-09-15T17:50:10,2024-09-15T17:50:35,Closest to mid-month (15th),
Sentinel-1,S1A,2024,2024-10,S1A_IW_GRDH_1SDV_20241014T175821_20241014T175846_056102_06DD4A_3174.SAFE,S1A_IW_GRDH_1SDV_20241014T175821_20241014T175846_056102_06DD4A_3174.zip,2024-10-14T17:58:21,2024-10-14T17:58:46,Closest to mid-month (15th),
Sentinel-1,S1A,2024,2024-11,S1A_IW_GRDH_1SDV_20241114T175010_20241114T175035_056554_06EF3C_4C30_COG.SAFE,S1A_IW_GRDH_1SDV_20241114T175010_20241114T175035_056554_06EF3C_4C30_COG.zip,2024-11-14T17:50:10,2024-11-14T17:50:35,Closest to mid-month (15th),
